"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Kemps Mill","Kemps Mill","MD","Maryland","24043","Washington","39.6268","-77.8137","27","141.4","shape","FALSE","TRUE","America/New_York","4","21740","1840039472"
"Brandon","Brandon","CO","Colorado","08061","Kiowa","38.4464","-102.4412","27","18.5","shape","FALSE","FALSE","America/Denver","3","81071","1840024659"
"Crab Orchard","Crab Orchard","NE","Nebraska","31097","Johnson","40.3347","-96.4224","27","51.4","shape","FALSE","TRUE","America/Chicago","3","68332","1840012168"
"Shannon Colony","Shannon Colony","SD","South Dakota","46097","Miner","43.9826","-97.4251","27","0.8","shape","FALSE","FALSE","America/Chicago","3","57076","1840148187"
"Zeandale","Zeandale","KS","Kansas","20161","Riley","39.1627","-96.4279","27","7.6","shape","FALSE","FALSE","America/Chicago","3","66502","1840059031"
"El Socio","El Socio","TX","Texas","48427","Starr","26.3404","-98.6371","27","758.4","shape","FALSE","TRUE","America/Chicago","3","78582","1840040757"
"Evansville","Evansville","AK","Alaska","02290","Yukon-Koyukuk","66.9206","-151.4201","27","0.0","shape","FALSE","FALSE","America/Anchorage","3","99726","1840023546"
"Linnsburg","Linnsburg","IN","Indiana","18107","Montgomery","40.0003","-86.8000","27","120.4","point","FALSE","FALSE","America/Indiana/Indianapolis","4","47933","1840055066"
"Huntersville","Huntersville","WV","West Virginia","54075","Pocahontas","38.1860","-80.0152","27","9.2","shape","FALSE","FALSE","America/New_York","3","24954","1840025654"
"Taylorsville","Taylorsville","CA","California","06063","Plumas","40.0586","-120.8387","27","3.2","shape","FALSE","FALSE","America/Los_Angeles","3","95983","1840018772"
"Ono","Ono","CA","California","06089","Shasta","40.4801","-122.6257","27","5.5","shape","FALSE","FALSE","America/Los_Angeles","5","96047","1840027340"
"Karluk","Karluk","AK","Alaska","02150","Kodiak Island","57.5845","-154.3255","27","0.0","shape","FALSE","FALSE","America/Anchorage","3","99608","1840023299"
"Mona","Mona","IA","Iowa","19131","Mitchell","43.4860","-92.9534","26","4.4","shape","FALSE","FALSE","America/Chicago","3","50472","1840024039"
"Baring","Baring","MO","Missouri","29103","Knox","40.2447","-92.2059","26","181.8","shape","FALSE","TRUE","America/Chicago","3","63531","1840007253"
"Chase","Chase","AK","Alaska","02170","Matanuska-Susitna","62.4624","-149.9371","26","0.0","shape","FALSE","FALSE","America/Anchorage","3","99676","1840023369"
"Ocean Beach","Ocean Beach","NY","New York","36103","Suffolk","40.6463","-73.1565","26","195.9","shape","FALSE","TRUE","America/New_York","3","11770","1840005127"
"Hassell","Hassell","NC","North Carolina","37117","Martin","35.9086","-77.2763","26","57.6","shape","FALSE","TRUE","America/New_York","3","27841","1840016205"
"Venice","Venice","NE","Nebraska","31055","Douglas","41.2390","-96.3526","26","21.2","shape","FALSE","FALSE","America/Chicago","3","68069","1840024170"
"Gandy","Gandy","NE","Nebraska","31113","Logan","41.4698","-100.4583","26","16.6","shape","FALSE","TRUE","America/Chicago","3","69163","1840011473"
"Healy Lake","Healy Lake","AK","Alaska","02240","Southeast Fairbanks","64.0281","-144.6331","26","0.0","shape","FALSE","FALSE","America/Anchorage","3","99706","1840023693"
"Rockham","Rockham","SD","South Dakota","46049","Faulk","44.9043","-98.8234","26","20.2","shape","FALSE","TRUE","America/Chicago","3","57470","1840002117"
"Wooldridge","Wooldridge","MO","Missouri","29053","Cooper","38.9065","-92.5214","26","98.0","shape","FALSE","TRUE","America/Chicago","3","65287","1840012767"
"Summerhaven","Summerhaven","AZ","Arizona","04019","Pima","32.4416","-110.7766","26","2.2","shape","FALSE","FALSE","America/Phoenix","3","85619","1840023078"
"Cardiff","Cardiff","AL","Alabama","01073","Jefferson","33.6473","-86.9308","26","63.6","shape","FALSE","TRUE","America/Chicago","3","35073","1840015670"
"Altoona","Altoona","FL","Florida","12069","Lake","28.9681","-81.6482","26","22.4","shape","FALSE","FALSE","America/New_York","3","32702","1840014045"
"Inkster","Inkster","ND","North Dakota","38035","Grand Forks","48.1513","-97.6442","26","10.1","shape","FALSE","TRUE","America/Chicago","3","58244","1840000102"
"Meridian","Meridian","OK","Oklahoma","40083","Logan","35.8442","-97.2456","26","60.2","shape","FALSE","TRUE","America/Chicago","3","73058","1840022690"
"Ferry","Ferry","AK","Alaska","02068","Denali","64.0496","-148.9205","26","0.0","shape","FALSE","FALSE","America/Anchorage","3","99743","1840023692"
"Wilsonia","Wilsonia","CA","California","06107","Tulare","36.7347","-118.9558","26","7.3","shape","FALSE","FALSE","America/Los_Angeles","3","93633","1840024885"
"Mineola","Mineola","IA","Iowa","19129","Mills","41.1414","-95.6947","26","25.8","shape","FALSE","FALSE","America/Chicago","3","51554","1840024207"
"Lawrenceport","Lawrenceport","IN","Indiana","18093","Lawrence","38.7512","-86.3878","26","18.4","point","FALSE","FALSE","America/Indiana/Indianapolis","4","47446","1840055038"
"Gildford Colony","Gildford Colony","MT","Montana","30041","Hill","48.8025","-110.2843","26","13.1","shape","FALSE","FALSE","America/Denver","3","59525","1840148502"
"Landusky","Landusky","MT","Montana","30071","Phillips","47.8982","-108.6202","26","0.7","shape","FALSE","FALSE","America/Denver","3","59546","1840026637"
"Farnsworth","Farnsworth","TX","Texas","48357","Ochiltree","36.3111","-100.9683","26","7.5","shape","FALSE","FALSE","America/Chicago","3","79033","1840036439"
"Dell","Dell","MT","Montana","30001","Beaverhead","44.7268","-112.6969","26","22.5","shape","FALSE","FALSE","America/Denver","3","59724","1840032718"
"Long Lake","Long Lake","SD","South Dakota","46089","McPherson","45.8567","-99.2058","26","16.4","shape","FALSE","TRUE","America/Chicago","3","57457","1840002027"
"Victoria Vera","Victoria Vera","TX","Texas","48427","Starr","26.3182","-98.6929","26","465.5","shape","FALSE","TRUE","America/Chicago","3","78547","1840041593"
"Alta Sierra","Alta Sierra","CA","California","06029","Kern","35.7292","-118.5493","26","9.9","shape","FALSE","FALSE","America/Los_Angeles","3","93285","1840153152"
"Panola","Panola","IL","Illinois","17203","Woodford","40.7829","-89.0203","25","22.5","shape","FALSE","TRUE","America/Chicago","3","61738","1840011946"
"Kramer","Kramer","ND","North Dakota","38009","Bottineau","48.6910","-100.7078","25","13.9","shape","FALSE","TRUE","America/Chicago","3","58748","1840000005"
"Ottosen","Ottosen","IA","Iowa","19091","Humboldt","42.8977","-94.3760","25","19.9","shape","FALSE","TRUE","America/Chicago","3","50570","1840009082"
"Cross Anchor","Cross Anchor","SC","South Carolina","45083","Spartanburg","34.6440","-81.8585","25","12.5","shape","FALSE","FALSE","America/New_York","3","29331","1840026958"
"Denham","Denham","MN","Minnesota","27115","Pine","46.3617","-92.9415","25","7.3","shape","FALSE","TRUE","America/Chicago","3","55783 55795","1840006663"
"Sylvester","Sylvester","TX","Texas","48151","Fisher","32.7221","-100.2507","25","10.9","shape","FALSE","FALSE","America/Chicago","3","79560","1840036637"
"Fredonia","Fredonia","ND","North Dakota","38047","Logan","46.3291","-99.0955","25","51.2","shape","FALSE","TRUE","America/Chicago","3","58440","1840000209"
"Farmers","Farmers","KY","Kentucky","21205","Rowan","38.1413","-83.5404","25","9.7","shape","FALSE","FALSE","America/New_York","3","40351 40319","1840026761"
"Nora","Nora","NE","Nebraska","31129","Nuckolls","40.1642","-97.9738","25","23.3","shape","FALSE","TRUE","America/Chicago","3","68961","1840012272"
"Hendley","Hendley","NE","Nebraska","31065","Furnas","40.1313","-99.9713","25","33.1","shape","FALSE","TRUE","America/Chicago","3","68926 68946","1840012275"
"Platina","Platina","CA","California","06089","Shasta","40.3591","-122.9042","25","4.7","shape","FALSE","FALSE","America/Los_Angeles","5","96076","1840027344"
"Hurdsfield","Hurdsfield","ND","North Dakota","38103","Wells","47.4468","-99.9310","25","113.8","shape","FALSE","TRUE","America/Chicago","3","58451","1840000120"
"Milltown","Milltown","SD","South Dakota","46067","Hutchinson","43.4252","-97.8081","25","21.9","shape","FALSE","FALSE","America/Chicago","3","57366","1840004231"
"National","National","MD","Maryland","24001","Allegany","39.6111","-78.9401","25","62.8","shape","FALSE","FALSE","America/New_York","3","21532","1840031379"
"Sholes","Sholes","NE","Nebraska","31179","Wayne","42.3348","-97.2946","25","11.9","shape","FALSE","TRUE","America/Chicago","3","68771","1840011216"
"La Paloma Ranchettes","La Paloma Ranchettes","TX","Texas","48427","Starr","26.3148","-98.6230","25","20.6","shape","FALSE","TRUE","America/Chicago","4","78582","1840040960"
"Coulterville","Coulterville","CA","California","06043","Mariposa","37.7123","-120.1967","25","24.8","shape","FALSE","FALSE","America/Los_Angeles","3","95311","1840028088"
"Arbela","Arbela","MO","Missouri","29199","Scotland","40.4631","-92.0156","25","49.8","shape","FALSE","TRUE","America/Chicago","3","63432","1840010405"
"Flowella","Flowella","TX","Texas","48047","Brooks","27.2200","-98.0645","25","9.7","shape","FALSE","FALSE","America/Chicago","3","78355","1840018303"
"Gilman","Gilman","MT","Montana","30049","Lewis and Clark","47.5093","-112.3578","25","14.8","shape","FALSE","FALSE","America/Denver","3","59410","1840032775"
"Normanna","Normanna","TX","Texas","48025","Bee","28.5277","-97.7831","25","7.2","shape","FALSE","FALSE","America/Chicago","3","78104 78142","1840023253"
"Twin Hills Colony","Twin Hills Colony","MT","Montana","30015","Chouteau","48.0168","-111.0698","25","2.4","shape","FALSE","FALSE","America/Denver","3","59420","1840147683"
"Covenant Life","Covenant Life","AK","Alaska","02100","Haines","59.3998","-136.0946","25","0.9","shape","FALSE","FALSE","America/Juneau","3","99827","1840023668"
"Norristown","Norristown","GA","Georgia","13107","Emanuel","32.5064","-82.4982","25","23.8","shape","FALSE","FALSE","America/New_York","3","31002 30447","1840025895"
"Springwater Colony","Springwater Colony","MT","Montana","30107","Wheatland","46.4569","-109.7532","25","2.0","shape","FALSE","FALSE","America/Denver","3","59036","1840148549"
"Hilldale Colony","Hilldale Colony","MT","Montana","30041","Hill","48.8035","-109.7832","25","35.9","shape","FALSE","FALSE","America/Denver","3","59501","1840148721"
"Cornlea","Cornlea","NE","Nebraska","31141","Platte","41.6800","-97.5669","25","33.5","shape","FALSE","TRUE","America/Chicago","3","68642","1840011451"
"Kilbourne","Kilbourne","OH","Ohio","39041","Delaware","40.3323","-82.9593","25","21.5","shape","FALSE","FALSE","America/New_York","3","43032 43015","1840026520"
"Foosland","Foosland","IL","Illinois","17019","Champaign","40.3611","-88.4291","25","172.8","shape","FALSE","TRUE","America/Chicago","3","61845","1840012225"
"Dellview","Dellview","NC","North Carolina","37071","Gaston","35.3865","-81.4127","25","101.1","shape","FALSE","TRUE","America/New_York","3","28021","1840016397"
"Sunset Acres","Sunset Acres","TX","Texas","48479","Webb","27.7942","-99.4566","25","43.7","shape","FALSE","FALSE","America/Chicago","3","78045","1840037115"
"Eagle Grove","Eagle Grove","GA","Georgia","13147","Hart","34.2918","-83.0043","25","5.6","shape","FALSE","FALSE","America/New_York","3","30520","1840025854"
"Rainsville","Rainsville","IN","Indiana","18171","Warren","40.4140","-87.3158","25","39.2","shape","FALSE","FALSE","America/Indiana/Indianapolis","3","47918","1840055466"
"Girard","Girard","TX","Texas","48263","Kent","33.3636","-100.6598","25","6.7","shape","FALSE","FALSE","America/Chicago","3","79518","1840018036"
"Bluewater Village","Bluewater Village","NM","New Mexico","35006","Cibola","35.2464","-107.9676","25","2.7","shape","FALSE","TRUE","America/Denver","5","87005 87020","1840039992"
"Mosquero","Mosquero","NM","New Mexico","35021","Harding","35.7743","-103.9544","24","9.3","shape","FALSE","TRUE","America/Denver","3","87733 87746","1840022685"
"Cedar Springs","Cedar Springs","GA","Georgia","13099","Early","31.1873","-85.0324","24","3.1","shape","FALSE","FALSE","America/New_York","3","39861 39832","1840025967"
"Loma","Loma","ND","North Dakota","38019","Cavalier","48.6417","-98.5248","24","0.1","shape","FALSE","TRUE","America/Chicago","3","58311","1840016556"
"Stoneville","Stoneville","MS","Mississippi","28151","Washington","33.4238","-90.9216","24","4.9","shape","FALSE","FALSE","America/Chicago","3","38776 38756","1840074501"
"Linoma Beach","Linoma Beach","NE","Nebraska","31153","Sarpy","41.0583","-96.3149","24","17.6","shape","FALSE","FALSE","America/Chicago","3","68028","1840078530"
"Scottsville","Scottsville","KS","Kansas","20123","Mitchell","39.5426","-97.9523","24","18.4","shape","FALSE","TRUE","America/Chicago","3","67420","1840009582"
"Deer Canyon","Deer Canyon","NM","New Mexico","35057","Torrance","34.4436","-106.2607","24","1.2","shape","FALSE","FALSE","America/Denver","3","87036","1840143567"
"Gascoyne","Gascoyne","ND","North Dakota","38011","Bowman","46.1190","-103.0788","24","9.3","shape","FALSE","TRUE","America/Denver","3","58653","1840000258"
"Crookston","Crookston","NE","Nebraska","31031","Cherry","42.9263","-100.7534","24","21.3","shape","FALSE","TRUE","America/Chicago","3","69212","1840011040"
"South Woodstock","South Woodstock","VT","Vermont","50027","Windsor","43.5608","-72.5321","24","10.1","shape","FALSE","FALSE","America/New_York","3","05071","1840115031"
"Cogdell","Cogdell","GA","Georgia","13065","Clinch","31.1663","-82.7217","24","10.4","shape","FALSE","FALSE","America/New_York","3","31634","1840029390"
"Amorita","Amorita","OK","Oklahoma","40003","Alfalfa","36.9240","-98.2936","24","22.7","shape","FALSE","TRUE","America/Chicago","3","73719","1840021608"
"Tecolote","Tecolote","NM","New Mexico","35047","San Miguel","35.4604","-105.2842","24","1.6","shape","FALSE","FALSE","America/Denver","3","87701","1840138606"
"McGrath","McGrath","MN","Minnesota","27001","Aitkin","46.2421","-93.2751","24","34.8","shape","FALSE","TRUE","America/Chicago","3","56350","1840007732"
"Danville","Danville","KS","Kansas","20077","Harper","37.2860","-97.8921","24","28.1","shape","FALSE","TRUE","America/Chicago","3","67036","1840007621"
"Buell","Buell","MO","Missouri","29139","Montgomery","39.0328","-91.4407","24","32.6","shape","FALSE","FALSE","America/Chicago","3","63361","1840032029"
"Virgil","Virgil","SD","South Dakota","46005","Beadle","44.2909","-98.4276","24","9.3","shape","FALSE","TRUE","America/Chicago","3","57379","1840002367"
"Independence","Independence","IN","Indiana","18171","Warren","40.3378","-87.1717","24","173.9","shape","FALSE","FALSE","America/Indiana/Indianapolis","3","47918","1840054938"
"Kerrick","Kerrick","MN","Minnesota","27115","Pine","46.3386","-92.5843","24","9.3","shape","FALSE","TRUE","America/Chicago","3","55712 55756","1840007753"
"Kaka","Kaka","AZ","Arizona","04013","Maricopa","32.5113","-112.3166","24","18.6","shape","FALSE","FALSE","America/Phoenix","3","85321","1840022922"
"Wise River","Wise River","MT","Montana","30001","Beaverhead","45.7920","-112.9485","24","12.5","shape","FALSE","FALSE","America/Denver","3","59762","1840032771"
"Udell","Udell","IA","Iowa","19007","Appanoose","40.7801","-92.7432","24","40.0","shape","FALSE","TRUE","America/Chicago","3","52593","1840010369"
"Lynn Center","Lynn Center","IL","Illinois","17073","Henry","41.2945","-90.3592","24","44.8","shape","FALSE","FALSE","America/Chicago","3","61262","1840051395"
"Johnson","Johnson","MN","Minnesota","27011","Big Stone","45.5722","-96.2941","24","40.8","shape","FALSE","TRUE","America/Chicago","3","56236","1840007793"
"Nealmont","Nealmont","PA","Pennsylvania","42013","Blair","40.6666","-78.2187","24","85.0","shape","FALSE","FALSE","America/New_York","3","16686","1840100520"
"Roscoe","Roscoe","MT","Montana","30009","Carbon","45.3517","-109.4932","24","19.1","shape","FALSE","FALSE","America/Denver","3","59071","1840023905"
"Clear Creek","Clear Creek","UT","Utah","49007","Carbon","39.6433","-111.1548","24","5.2","shape","FALSE","FALSE","America/Denver","3","84526","1840024370"
"Moselle","Moselle","MS","Mississippi","28067","Jones","31.5087","-89.2824","24","5.6","shape","FALSE","FALSE","America/Chicago","3","39459","1840032376"
"Memphis","Memphis","AL","Alabama","01107","Pickens","33.1369","-88.3008","23","22.9","shape","FALSE","TRUE","America/Chicago","3","35442","1840016852"
"Wood Lake","Wood Lake","NE","Nebraska","31031","Cherry","42.6386","-100.2376","23","86.3","shape","FALSE","TRUE","America/Chicago","3","69221","1840011043"
"Dorchester","Dorchester","TX","Texas","48181","Grayson","33.5320","-96.6958","23","6.8","shape","FALSE","TRUE","America/Chicago","3","75092 75459","1840021958"
"Spencer","Spencer","ID","Idaho","16033","Clark","44.3770","-112.1897","23","7.8","shape","FALSE","TRUE","America/Boise","3","83446 83423","1840021259"
"Hamburg","Hamburg","IN","Indiana","18047","Franklin","39.3809","-85.2508","23","62.7","point","FALSE","FALSE","America/Indiana/Indianapolis","4","47036","1840142786"
"Platinum","Platinum","AK","Alaska","02050","Bethel","58.9780","-161.7185","23","0.0","shape","FALSE","TRUE","America/Anchorage","3","99651","1840000307"
"Obert","Obert","NE","Nebraska","31027","Cedar","42.6895","-97.0272","23","32.0","shape","FALSE","TRUE","America/Chicago","3","68757","1840011074"
