"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Benton Ridge","Benton Ridge","OH","Ohio","39063","Hancock","41.0043","-83.7920","480","379.1","shape","FALSE","TRUE","America/New_York","3","45816 45840","1840011739"
"Bonfield","Bonfield","IL","Illinois","17091","Kankakee","41.1450","-88.0542","480","376.9","shape","FALSE","TRUE","America/Chicago","3","60913","1840011691"
"Jefferson City","Jefferson City","MT","Montana","30043","Jefferson","46.3779","-112.0305","480","8.0","shape","FALSE","FALSE","America/Denver","3","59638","1840017388"
"Woodland","Woodland","MI","Michigan","26015","Barry","42.7268","-85.1344","479","218.1","shape","FALSE","TRUE","America/Detroit","3","48897","1840011091"
"Millingport","Millingport","NC","North Carolina","37167","Stanly","35.3763","-80.3113","479","32.6","shape","FALSE","FALSE","America/New_York","3","28127 28001","1840024952"
"Park Ridge","Park Ridge","WI","Wisconsin","55097","Portage","44.5200","-89.5463","479","818.5","shape","FALSE","TRUE","America/Chicago","3","54481","1840002327"
"Green Isle","Green Isle","MN","Minnesota","27143","Sibley","44.6804","-94.0052","479","182.2","shape","FALSE","TRUE","America/Chicago","3","55338","1840007867"
"Harvey Cedars","Harvey Cedars","NJ","New Jersey","34029","Ocean","39.6995","-74.1426","479","329.5","shape","FALSE","TRUE","America/New_York","3","08008","1840003757"
"Solomon","Solomon","AZ","Arizona","04009","Graham","32.8138","-109.6290","479","528.1","shape","FALSE","FALSE","America/Phoenix","3","85551","1840022961"
"Fowler","Fowler","KS","Kansas","20119","Meade","37.3829","-100.1957","479","390.2","shape","FALSE","TRUE","America/Chicago","3","67844","1840008750"
"Riverview","Riverview","VA","Virginia","51195","Wise","36.9326","-82.4846","479","324.3","shape","FALSE","FALSE","America/New_York","3","24230","1840037353"
"Southampton Meadows","Southampton Meadows","VA","Virginia","51175","Southampton","36.5916","-76.9293","479","468.3","shape","FALSE","TRUE","America/New_York","3","23851","1840043157"
